snapshot_date,period_start,period_end,video_id,views,estimated_minutes_watched,average_view_duration_sec,average_view_percentage,likes,comments,shares,subscribers_gained,subscribers_lost,videos_added_to_playlists
2026-05-09,2026-04-06,2026-05-05,LO1wDK9f7Q8,280,678,145,23.46,6,0,5,5,0,10
2026-05-09,2026-04-06,2026-05-05,yA0QYUuTPbk,112,202,108,17.85,4,0,1,2,0,5
2026-05-09,2026-04-06,2026-05-05,E9d5_QYeXgs,28,39,85,16.1,1,0,0,0,0,0
2026-05-09,2026-04-06,2026-05-05,U7wAdLfJIXY,4,12,189,27.560000000000002,0,0,0,0,0,1
2026-05-10,2026-04-07,2026-05-06,LO1wDK9f7Q8,280,678,145,23.46,6,0,5,5,0,10
2026-05-10,2026-04-07,2026-05-06,yA0QYUuTPbk,113,202,107,17.7,4,0,1,2,0,5
2026-05-10,2026-04-07,2026-05-06,E9d5_QYeXgs,28,39,85,16.1,1,0,0,0,0,0
2026-05-10,2026-04-07,2026-05-06,U7wAdLfJIXY,4,12,189,27.560000000000002,0,0,0,0,0,1
2026-05-11,2026-04-08,2026-05-07,LO1wDK9f7Q8,282,680,144,23.36,6,0,5,5,0,10
2026-05-11,2026-04-08,2026-05-07,yA0QYUuTPbk,117,203,104,17.18,4,0,1,2,0,6
2026-05-11,2026-04-08,2026-05-07,E9d5_QYeXgs,28,40,86,16.22,1,0,0,0,0,0
2026-05-11,2026-04-08,2026-05-07,U7wAdLfJIXY,4,12,189,27.560000000000002,0,0,0,0,0,1
2026-05-12,2026-04-09,2026-05-08,LO1wDK9f7Q8,282,680,144,23.36,6,0,5,5,0,10
2026-05-12,2026-04-09,2026-05-08,yA0QYUuTPbk,119,204,102,16.94,4,0,1,2,0,6
2026-05-12,2026-04-09,2026-05-08,E9d5_QYeXgs,25,38,93,17.57,1,0,0,0,0,0
2026-05-12,2026-04-09,2026-05-08,U7wAdLfJIXY,4,12,189,27.560000000000002,0,0,0,0,0,1
2026-05-13,2026-04-10,2026-05-09,LO1wDK9f7Q8,283,690,146,23.61,6,0,5,5,0,10
2026-05-13,2026-04-10,2026-05-09,yA0QYUuTPbk,120,204,102,16.83,4,0,1,2,0,6
2026-05-13,2026-04-10,2026-05-09,E9d5_QYeXgs,22,36,99,18.64,1,0,0,0,0,0
2026-05-13,2026-04-10,2026-05-09,U7wAdLfJIXY,4,12,189,27.560000000000002,0,0,0,0,0,1
2026-05-14,2026-04-11,2026-05-10,LO1wDK9f7Q8,271,658,145,23.52,5,0,3,3,0,10
2026-05-14,2026-04-11,2026-05-10,yA0QYUuTPbk,120,204,102,16.83,4,0,1,2,0,6
2026-05-14,2026-04-11,2026-05-10,E9d5_QYeXgs,21,27,78,14.82,0,0,0,0,0,0
2026-05-14,2026-04-11,2026-05-10,U7wAdLfJIXY,4,12,189,27.560000000000002,0,0,0,0,0,1
