snapshot_date,period_start,period_end,video_id,views,estimated_minutes_watched,average_view_duration_sec,average_view_percentage,impressions,impressions_ctr
2026-05-09,2025-05-09,2026-05-08,AC360e5wgvs,1,0.0,,,0,
2026-05-09,2025-05-09,2026-05-08,E9d5_QYeXgs,236,363.3,,,4373,2.79
2026-05-09,2025-05-09,2026-05-08,LO1wDK9f7Q8,282,680.7,,,6177,3.11
2026-05-09,2025-05-09,2026-05-08,U7wAdLfJIXY,4,12.6,,,2,0.0
2026-05-09,2025-05-09,2026-05-08,czCRUOn7o2Q,1,0.0,,,0,
2026-05-09,2025-05-09,2026-05-08,yA0QYUuTPbk,119,204.2,,,5236,1.78
2026-05-10,2026-04-07,2026-05-06,E9d5_QYeXgs,28,39,85,16.1,,
2026-05-10,2026-04-07,2026-05-06,LO1wDK9f7Q8,280,678,145,23.46,,
2026-05-10,2026-04-07,2026-05-06,U7wAdLfJIXY,4,12,189,27.560000000000002,,
2026-05-10,2026-04-07,2026-05-06,yA0QYUuTPbk,113,202,107,17.7,,
2026-05-11,2026-04-08,2026-05-07,LO1wDK9f7Q8,282,680,144,23.36,,
2026-05-11,2026-04-08,2026-05-07,yA0QYUuTPbk,117,203,104,17.18,,
2026-05-11,2026-04-08,2026-05-07,E9d5_QYeXgs,28,40,86,16.22,,
2026-05-11,2026-04-08,2026-05-07,U7wAdLfJIXY,4,12,189,27.560000000000002,,
2026-05-12,2026-04-09,2026-05-08,LO1wDK9f7Q8,282,680,144,23.36,,
2026-05-12,2026-04-09,2026-05-08,yA0QYUuTPbk,119,204,102,16.94,,
2026-05-12,2026-04-09,2026-05-08,E9d5_QYeXgs,25,38,93,17.57,,
2026-05-12,2026-04-09,2026-05-08,U7wAdLfJIXY,4,12,189,27.560000000000002,,
2026-05-13,2026-04-10,2026-05-09,LO1wDK9f7Q8,283,690,146,23.61,,
2026-05-13,2026-04-10,2026-05-09,yA0QYUuTPbk,120,204,102,16.83,,
2026-05-13,2026-04-10,2026-05-09,E9d5_QYeXgs,22,36,99,18.64,,
2026-05-13,2026-04-10,2026-05-09,U7wAdLfJIXY,4,12,189,27.560000000000002,,
