snapshot_date,period_start,period_end,video_id,traffic_source_type,views,estimated_minutes_watched,average_view_duration_sec
2026-05-09,2025-05-09,2026-05-08,ALL,BROWSE,388,749.3,
2026-05-09,2025-05-09,2026-05-08,ALL,EXT_URL,125,196.2,
2026-05-09,2025-05-09,2026-05-08,ALL,RELATED_VIDEO,45,139.8,
2026-05-09,2025-05-09,2026-05-08,ALL,チャンネル ページ,43,80.8,
2026-05-09,2025-05-09,2026-05-08,ALL,NO_LINK_OTHER,21,47.8,
2026-05-09,2025-05-09,2026-05-08,ALL,その他の YouTube 機能,11,21.1,
2026-05-09,2025-05-09,2026-05-08,ALL,YT_SEARCH,6,5.0,
2026-05-09,2025-05-09,2026-05-08,ALL,PLAYLIST,4,21.0,
2026-05-10,2026-04-07,2026-05-06,E9d5_QYeXgs,EXT_URL,12,4,21
2026-05-10,2026-04-07,2026-05-06,E9d5_QYeXgs,YT_CHANNEL,8,16,122
2026-05-10,2026-04-07,2026-05-06,E9d5_QYeXgs,NO_LINK_OTHER,4,15,239
2026-05-10,2026-04-07,2026-05-06,E9d5_QYeXgs,RELATED_VIDEO,3,3,61
2026-05-10,2026-04-07,2026-05-06,E9d5_QYeXgs,YT_SEARCH,1,0,14
2026-05-10,2026-04-07,2026-05-06,LO1wDK9f7Q8,SUBSCRIBER,186,414,133
2026-05-10,2026-04-07,2026-05-06,LO1wDK9f7Q8,RELATED_VIDEO,31,107,207
2026-05-10,2026-04-07,2026-05-06,LO1wDK9f7Q8,EXT_URL,30,94,189
2026-05-10,2026-04-07,2026-05-06,LO1wDK9f7Q8,YT_CHANNEL,11,22,122
2026-05-10,2026-04-07,2026-05-06,LO1wDK9f7Q8,NO_LINK_OTHER,10,15,95
2026-05-10,2026-04-07,2026-05-06,LO1wDK9f7Q8,YT_OTHER_PAGE,7,8,75
2026-05-10,2026-04-07,2026-05-06,LO1wDK9f7Q8,YT_SEARCH,3,4,89
2026-05-10,2026-04-07,2026-05-06,LO1wDK9f7Q8,PLAYLIST,2,10,309
2026-05-10,2026-04-07,2026-05-06,U7wAdLfJIXY,SUBSCRIBER,2,1,33
2026-05-10,2026-04-07,2026-05-06,U7wAdLfJIXY,YT_OTHER_PAGE,1,11,688
2026-05-10,2026-04-07,2026-05-06,U7wAdLfJIXY,NO_LINK_OTHER,1,0,1
2026-05-10,2026-04-07,2026-05-06,yA0QYUuTPbk,SUBSCRIBER,87,133,92
2026-05-10,2026-04-07,2026-05-06,yA0QYUuTPbk,EXT_URL,9,13,86
2026-05-10,2026-04-07,2026-05-06,yA0QYUuTPbk,RELATED_VIDEO,7,28,242
2026-05-10,2026-04-07,2026-05-06,yA0QYUuTPbk,YT_CHANNEL,4,9,143
2026-05-10,2026-04-07,2026-05-06,yA0QYUuTPbk,PLAYLIST,2,10,319
2026-05-10,2026-04-07,2026-05-06,yA0QYUuTPbk,YT_SEARCH,2,0,9
2026-05-10,2026-04-07,2026-05-06,yA0QYUuTPbk,YT_OTHER_PAGE,1,0,3
2026-05-10,2026-04-07,2026-05-06,yA0QYUuTPbk,NO_LINK_OTHER,1,6,404
2026-05-11,2026-04-08,2026-05-07,LO1wDK9f7Q8,SUBSCRIBER,186,414,133
2026-05-11,2026-04-08,2026-05-07,LO1wDK9f7Q8,RELATED_VIDEO,31,107,207
2026-05-11,2026-04-08,2026-05-07,LO1wDK9f7Q8,EXT_URL,30,94,189
2026-05-11,2026-04-08,2026-05-07,LO1wDK9f7Q8,YT_CHANNEL,13,24,112
2026-05-11,2026-04-08,2026-05-07,LO1wDK9f7Q8,NO_LINK_OTHER,10,15,95
2026-05-11,2026-04-08,2026-05-07,LO1wDK9f7Q8,YT_OTHER_PAGE,7,8,75
2026-05-11,2026-04-08,2026-05-07,LO1wDK9f7Q8,YT_SEARCH,3,4,89
2026-05-11,2026-04-08,2026-05-07,LO1wDK9f7Q8,PLAYLIST,2,10,309
2026-05-11,2026-04-08,2026-05-07,yA0QYUuTPbk,SUBSCRIBER,87,133,92
2026-05-11,2026-04-08,2026-05-07,yA0QYUuTPbk,RELATED_VIDEO,9,28,193
2026-05-11,2026-04-08,2026-05-07,yA0QYUuTPbk,EXT_URL,9,13,86
2026-05-11,2026-04-08,2026-05-07,yA0QYUuTPbk,YT_CHANNEL,5,9,119
2026-05-11,2026-04-08,2026-05-07,yA0QYUuTPbk,PLAYLIST,2,10,319
2026-05-11,2026-04-08,2026-05-07,yA0QYUuTPbk,YT_OTHER_PAGE,2,0,1
2026-05-11,2026-04-08,2026-05-07,yA0QYUuTPbk,YT_SEARCH,2,0,9
2026-05-11,2026-04-08,2026-05-07,yA0QYUuTPbk,NO_LINK_OTHER,1,6,404
2026-05-11,2026-04-08,2026-05-07,E9d5_QYeXgs,EXT_URL,11,4,23
2026-05-11,2026-04-08,2026-05-07,E9d5_QYeXgs,YT_CHANNEL,9,16,110
2026-05-11,2026-04-08,2026-05-07,E9d5_QYeXgs,NO_LINK_OTHER,4,15,239
2026-05-11,2026-04-08,2026-05-07,E9d5_QYeXgs,RELATED_VIDEO,3,3,61
2026-05-11,2026-04-08,2026-05-07,E9d5_QYeXgs,YT_SEARCH,1,0,14
2026-05-11,2026-04-08,2026-05-07,U7wAdLfJIXY,SUBSCRIBER,2,1,33
2026-05-11,2026-04-08,2026-05-07,U7wAdLfJIXY,YT_OTHER_PAGE,1,11,688
2026-05-11,2026-04-08,2026-05-07,U7wAdLfJIXY,NO_LINK_OTHER,1,0,1
2026-05-12,2026-04-09,2026-05-08,LO1wDK9f7Q8,SUBSCRIBER,186,414,133
2026-05-12,2026-04-09,2026-05-08,LO1wDK9f7Q8,RELATED_VIDEO,31,107,207
2026-05-12,2026-04-09,2026-05-08,LO1wDK9f7Q8,EXT_URL,30,94,189
2026-05-12,2026-04-09,2026-05-08,LO1wDK9f7Q8,YT_CHANNEL,13,24,112
2026-05-12,2026-04-09,2026-05-08,LO1wDK9f7Q8,NO_LINK_OTHER,10,15,95
2026-05-12,2026-04-09,2026-05-08,LO1wDK9f7Q8,YT_OTHER_PAGE,7,8,75
2026-05-12,2026-04-09,2026-05-08,LO1wDK9f7Q8,YT_SEARCH,3,4,89
2026-05-12,2026-04-09,2026-05-08,LO1wDK9f7Q8,PLAYLIST,2,10,309
2026-05-12,2026-04-09,2026-05-08,yA0QYUuTPbk,SUBSCRIBER,87,133,92
2026-05-12,2026-04-09,2026-05-08,yA0QYUuTPbk,RELATED_VIDEO,11,29,160
2026-05-12,2026-04-09,2026-05-08,yA0QYUuTPbk,EXT_URL,9,13,86
2026-05-12,2026-04-09,2026-05-08,yA0QYUuTPbk,YT_CHANNEL,5,9,119
2026-05-12,2026-04-09,2026-05-08,yA0QYUuTPbk,PLAYLIST,2,10,319
2026-05-12,2026-04-09,2026-05-08,yA0QYUuTPbk,YT_OTHER_PAGE,2,0,1
2026-05-12,2026-04-09,2026-05-08,yA0QYUuTPbk,YT_SEARCH,2,0,9
2026-05-12,2026-04-09,2026-05-08,yA0QYUuTPbk,NO_LINK_OTHER,1,6,404
2026-05-12,2026-04-09,2026-05-08,E9d5_QYeXgs,EXT_URL,10,4,25
2026-05-12,2026-04-09,2026-05-08,E9d5_QYeXgs,YT_CHANNEL,8,15,118
2026-05-12,2026-04-09,2026-05-08,E9d5_QYeXgs,NO_LINK_OTHER,4,15,239
2026-05-12,2026-04-09,2026-05-08,E9d5_QYeXgs,RELATED_VIDEO,2,2,81
2026-05-12,2026-04-09,2026-05-08,E9d5_QYeXgs,YT_SEARCH,1,0,14
2026-05-12,2026-04-09,2026-05-08,U7wAdLfJIXY,SUBSCRIBER,2,1,33
2026-05-12,2026-04-09,2026-05-08,U7wAdLfJIXY,YT_OTHER_PAGE,1,11,688
